,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,netflix_title
3950,False,,[99],416122,en,At All Costs,"At All Costs is a documentary set in the world of elite youth grassroots basketball that explores how the AAU system has professionalized youth basketball in America. We follow highly recruited 'blue chip' prospects, their families, and their teams as they navigate the shaky terrain of the AAU circuit in pursuit of their dreams.",0.871,/aITQIdRBqTZWXWb91F4382dCJDA.jpg,2016-09-30,At All Costs,False,6.8,9,At All Costs
3951,False,/lCqQefm3JsTDDlvOunM1YE9Cxu2.jpg,"[53, 878]",470894,en,At First Light,"A high school senior, Alex Lainey, has an encounter with mysterious lights that appear over her small town. She soon develops dangerous, supernatural abilities and turns to her childhood friend Sean Terrel. The authorities target them and a chase ensues as officials try to discover the truth behind Alex's transformation.",9.831,/wez4hCV7ltekZwRkQVyiKEZNrm5.jpg,2018-10-05,At First Light,False,5.698,111,At First Light
3952,False,/9xZyePVQLrg1wRjXx7dmqCAAFpK.jpg,"[27, 53]",89691,en,ATM,"After leaving their company Christmas Party together, David Hargrove and Emily Brandt’s impromptu first date takes an unexpected turn when their coworker, Corey, asks them to make a late-night stop at an ATM.  What should be a routine transaction turns into a desperate struggle for survival when an unknown man appears outside the vestibule.  With the wintry temperatures dipping below freezing, and the morning sunrise still hours away, they have no choice but to play the man’s deadly game of cat-and-mouse.",6.913,/4cigb1FmAjvHDGnrj23ii65NMIP.jpg,2012-02-17,ATM,False,5.024,512,ATM
3953,False,,[99],276614,en,Attacking the Devil: Harold Evans and the Last Nazi War Crime,"As editor of The Sunday Times for fourteen years, Sir Harold Evans proved to be the right man in the right place at the right time. In an investigative climate all too rare by today's standards, Evans had the freedom and resources to allow teams of journalists to work on long-term projects, including the exposure of Kim Philby as a Soviet spy. As Evans himself details in this stylish documentary, his longest and most hard fought campaign was for the victims of Thalidomide. Originally developed by the Germans in World War II to counter effect sarin gas, post-war the drug was blithely prescribed by British doctors as an antidote to morning sickness, leading to tens of thousands of children born with serious defects. The Sunday Times' fight to win compensation for their struggling families would take more than a decade, as Evans tenaciously pursued the drug companies through the English courts and beyond.",1.939,/OYZfaGAEbCWuThfNviU7o2ZMaL.jpg,2014-06-09,Attacking the Devil: Harold Evans and the Last Nazi War Crime,False,7.6,14,Attacking the Devil: Harold Evans and the Last Nazi War Crime
3954,False,/rgSuXbVnMmkrXO7coDV1mXoQzN7.jpg,[35],427557,es,Prueba de actitud,"Four high school seniors steal an important college entrance exam and go on vacation to ""study,"" but accidentally lose the exam while partying.",1.351,/oXXfb2jsJevOIZmNF5hlamDHLL9.jpg,2016-12-01,Attitude Test,False,5.4,26,Attitude Test
3955,False,,[],707884,en,Auschwitz: The Blueprints of Genocide,"Using newly-released (in 1994) files, concealed by the KGB in Moscow and held in archives for nearly 50 years, the programme exposes the events behind the planning and building of the Auschwitz concentration camp. Professor Gerald Fleming, a researcher into Nazi war crimes and architect Robert van Pelt, investigate these files and reveal evidence which shows how German civilian engineers and Bauhaus-trained architects deliberately colluded with the SS to plan the genocide.  - Documentary Addict",0.6,,1994-05-09,Auschwitz: The Blueprints of Genocide,False,0.0,0,Auschwitz: Blueprints of Genocide
3956,False,/kVChi7qHX9UMcpAh7J6fGBCCH2c.jpg,"[53, 878]",262543,en,Autómata,"Jacq Vaucan, an insurance agent of ROC robotics corporation, routinely investigates the case of manipulating a robot. What he discovers will have profound consequences for the future of humanity.",14.99,/nUEIwqzTWYvEJEcMkHZ8BAi2rL0.jpg,2014-10-09,Automata,False,5.817,1473,Automata
3957,False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,"[12, 28, 878]",299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",210.507,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018-04-25,Avengers: Infinity War,False,8.262,26842,Avengers: Infinity War
3958,False,/eiBXqcjxrw9osXatNfqTGmibhTC.jpg,"[10402, 99]",479626,en,Avicii: True Stories,"Documentary about the arena-packing Swedish DJ, chronicling his explosive rise to fame and surprising decision to retire from live performances in 2016.",9.227,/52Q4HLe2U79O1QkskIy2JdEyeEv.jpg,2017-10-26,Avicii: True Stories,False,7.987,316,Avicii: True Stories
3959,False,/6X5UsOSSdUR2MRCbHGFdMiaGzNK.jpg,[18],391778,hi,Azhar,"The famous and idolized Indian cricketer Mohammad Azharuddin, known as Azhar, faces in court those who accuse him of match-fixing in exchange for large sums of money during the national team's tour of South Africa.",1.967,/jwvpI85cqfVfs3ioFHu4invTLeI.jpg,2016-05-13,Azhar,False,5.9,27,Azhar
