,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count,netflix_title
1226,False,/jHF1ys6WjpKpgj3JPTCP65pN96v.jpg,"[18, 10765]",90755,['US'],en,The I-Land,"Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities -- and the island that traps them.",11.895,/Muev370hN3vdjGsC1ip1HcWqbT.jpg,2019-09-12,The I-Land,5.561,196,The I-Land
1227,False,/70c2rCiA4eTyLs0vW9SwOHeomkC.jpg,[99],93514,['US'],en,"The Mind, Explained","Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",11.797,/xpT3549LLOsS6oHFyGinFDDlA7m.jpg,2019-09-12,"The Mind, Explained",7.622,82,"The Mind, Explained"
1228,False,/otbqJfY4nKUzAr36b9XawBwRR6Y.jpg,[18],91725,['FR'],en,The Spy,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",13.198,/bCGC6cAEKzm45J7SPsApAnp9mNx.jpg,2019-09-06,The Spy,7.449,167,The Spy
1229,False,/zKyO7uZc6jBbEn5Ip8ewpgADpDR.jpg,"[10762, 16]",102134,['US'],en,Loo Loo Kids Johny & Friends Musical Adventure,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series. Watch all you want.",0.752,/9qtkkyzEWgVLom9ZzsEgrbY1FOo.jpg,2018-10-01,Loo Loo Kids Johny & Friends Musical Adventure,7.3,3,Loo Loo Kids: Johny & Friends Musical Adventures
1230,False,/toipfuHBYvQILUvDgWlSAS7LN4W.jpg,[],86866,[],en,Moving Art,"Experience nature's art as filmmaker Louie Schwartzberg highlights the beauty that lurks in oceans, forests, deserts and flowers.",1.408,/g4YBmzX5yyu9w3oyBIurVcFzMKf.jpg,2014-01-02,Moving Art,5.2,4,Moving Art
1231,False,/xuJ0F9RfKvVSJNDg2usurQ9WvY5.jpg,"[16, 10759, 10765]",46260,['JP'],ja,ナルト,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",210.671,/xppeysfvDKVx775MFuH8Z9BlpMk.jpg,2002-10-03,Naruto,8.356,5047,Naruto
1232,False,/mXFycaktm53Mk5UGoKxjAV74gkg.jpg,"[99, 80]",85471,['GB'],en,Serial Killer with Piers Morgan,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",1.31,/jd4xSJcXefvir9Ew0QT0cXslCX3.jpg,2017-11-16,Serial Killer with Piers Morgan,3.6,7,Serial Killer with Piers Morgan
1233,False,/f3ksHQsftkAOg2AeBlo0ocKP3Qv.jpg,"[16, 10762]",109471,['CN'],zh,洛宝贝,"A bright and spirited seven-year-old girl uses her vivid, dreamlike imagination to navigate everyday adventures alongside her real and imaginary BFFs.",3.755,/qeSNZS4KT8ZyHPT1Wi3kFLqUrV0.jpg,2018-02-19,Luo Bao Bei,0.0,0,Luo Bao Bei
1234,False,/38QBTmFrSYYLoU6LosrzhtjIlUj.jpg,[],93059,['US'],en,Styling Hollywood,Stylist and interior designer Jason Bolden and husband Adair Curtis of JSN Studio make the magic happen on the red carpet and at home for A-listers.,2.142,/7VWk87pFUwE262O6imvGua6a8zf.jpg,2019-08-30,Styling Hollywood,6.0,2,Styling Hollywood
1235,False,/uHFvwXGhchNOUFj3LLM0gQZ8m4z.jpg,"[10765, 10759]",71809,"['US', 'GB']",en,The Dark Crystal: Age of Resistance,"Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power and set out to ignite the fires of rebellion and save their world.",19.733,/xnMJ7mBC8Jx4emaj7TE4TU0Qm92.jpg,2019-08-30,The Dark Crystal: Age of Resistance,7.776,306,The Dark Crystal: Age of Resistance
1236,False,/62TK8gSYLfSmmm27SEq9guqUqxX.jpg,"[16, 10762]",73275,['CA'],en,True and the Rainbow Kingdom,"When something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.",12.63,/cdflZ8czbWKeSyousytVXsGzyFU.jpg,2017-08-11,True and the Rainbow Kingdom,8.4,15,True and the Rainbow Kingdom
1237,False,/3rfZz7sPV6mDxMNMoO96afrJdkI.jpg,[10764],81660,['GB'],en,Million Pound Menu,Business series hosted by Fred Sirieix. 12 restaurant concepts seek major investment to launch their brand. Participants try to convince a jury that their new restaurant ideas could work.,2.711,/rwRdRwE2lVcBlUQO43yxO6EpGM4.jpg,2018-05-17,Million Pound Menu,5.8,10,Million Pound Menu
1238,False,/8InkNNcz5MGZUgeuZA58nQ1glGJ.jpg,[10767],80865,['US'],en,13 Reasons Why: Beyond the Reasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",2.779,/aauFzhjAGSemDpDBSmWDJpkeQiw.jpg,2017-03-31,13 Reasons Why: Beyond the Reasons,5.848,23,13 Reasons Why: Beyond the Reasons
1239,False,/40Q3wc47cxgrAKsxj0iJBS2mq57.jpg,"[16, 10759, 9648, 10765]",84646,['JP'],ja,ヒーローマスク,"After a rash of mysterious deaths, Crown prosecutor Sarah Sinclair and SSC agent James Blood discover a conspiracy surrounding uncanny new bio-masks.",4.57,/hhBiqy0hgah9nZPYvrUMzz8NzxP.jpg,2018-12-03,Hero Mask,6.235,17,HERO MASK
1240,False,/bZ082u4TlCRijcRlTOlNsDjej0X.jpg,[10764],91766,['US'],en,Hyperdrive,"Elite street racers from around the world test their limits in supercharged custom cars on the biggest, baddest automotive obstacle course ever built.",8.188,/g3tIsbySSQj9GnDjhAAW7p5DmLU.jpg,2019-08-21,Hyperdrive,7.5,39,Hyperdrive
1241,False,/vWZmtgd4uFwMw4cl60L3R7fWv0s.jpg,[18],83931,['ES'],es,45 Revoluciones,The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.,3.746,/dkWii81Ru6NCvWPInbNy1sTZ293.jpg,2019-03-18,45 RPM,6.833,12,45 rpm
1242,False,/sgKWm5B1SjlhxQJpsJpT1IEwUtR.jpg,[10765],84380,['RU'],ru,"Лучше, чем люди","Moscow in a not so distant future where human beings share their daily lives with robots. Georgy, a forensic who has a robot assistant, suddenly finds himself caught up in the first murder committed by a new kind of experimental humanoid.",22.065,/dUigUEoz7IlImY4uJLtqnLRYEU3.jpg,2018-11-23,Better Than Us,7.4,310,Better Than Us
1243,False,/afgy9zkS8Qqpvy22sOyxzQGSAH6.jpg,[99],91701,['US'],en,Diagnosis,Dr. Lisa Sanders crowdsources diagnoses for mysterious and rare medical conditions in a documentary series based on her New York Times Magazine column.,2.669,/7KYUwDjSDpXkPNcQW20OhKlwNrm.jpg,2019-08-16,Diagnosis,7.2,10,Diagnosis
1244,False,/dMG6CvFs0fAIRIxJvHEDWSTo0nb.jpg,"[80, 9648, 18, 10765]",91699,['CO'],es,Frontera Verde,"When a young Bogotá-based detective gets drawn into the jungle to investigate four femicides, she uncovers magic, an evil plot and her own true origins.",7.558,/8VZqVf40LuVxhVvOXFWeB6sUzut.jpg,2019-08-16,Green Frontier,6.712,106,Green Frontier
1245,False,/a906PH7CDmSOdS7kmnAgdWk5mhv.jpg,"[18, 80]",67744,['US'],en,Mindhunter,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,35.485,/fbKE87mojpIETWepSbD5Qt741fp.jpg,2017-10-13,Mindhunter,8.07,1960,MINDHUNTER
1246,False,/hRCBhOrqF6wKErqObeEbbRV0ZbM.jpg,"[16, 10759, 35]",71194,['CN'],zh,全职高手,"In the multiplayer online game Glory, Ye Xiu is regarded as a textbook and a top-tier pro-player. However, due to a myriad of reasons, he is kicked from the team. After leaving the pro scene, he finds work in an Internet Cafe as a manager. When Glory launches its tenth server, he throws himself in to the game once more. Possessing ten years of experience, the memories of his past, and an incomplete, self-made weapon, his return along the road to the summit begins!",15.233,/aXWmkDgM3Aq2SFCc2qNJlEZQSo2.jpg,2017-04-07,The King's Avatar,8.167,36,The King's Avatar
1247,False,/cEGCl7GcRsWfE5LNdB3P0a1D042.jpg,"[18, 80]",83265,['ES'],es,La víctima número 8,An jihadist attack in the old town of Bilbao ends with the lives of seven people and leaves more than thirty badly injured. The police investigation focus on catching those responsible for the massacre.,5.053,/ppY7UHjIO7CxmqwV5dUsCovvsmM.jpg,2018-10-10,Victim Number 8,7.417,18,Victim Number 8
1248,False,/mE1KFvIqEAv0V9AUUTFRvWFV0Km.jpg,"[16, 10765, 10759]",82257,"['US', 'FR', 'JP']",ja,キャノン・バスターズ,"With a maintenance robot and a deadly fugitive tagging along, friendship droid S.A.M searches for its best friend, the heir to a kingdom under siege.",5.825,/etU8k5nzNG0HfIIDGcM5TP4HAWS.jpg,2019-08-14,Cannon Busters,5.979,24,Cannon Busters
1249,False,/qtac9X9lSLqZFbxS71347N8MiID.jpg,"[18, 80, 10759]",79352,['IN'],hi,Sacred Games,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",14.687,/uEbNtFbK4At9WBDGap23lt1qO9n.jpg,2018-07-06,Sacred Games,7.889,162,Sacred Games
1250,False,/xJnG7QMMfV8RBSIJ5VeMxZnJEOf.jpg,[10765],92829,['TW'],zh,鏡文學驚悚劇場,"Based on the speculative short stories of MirrorFiction, this sci-fi thriller anthology plunges headlong into our deepest desires -- and darkest fears.",2.961,/bJtoOHPiqBgt3fj8fVPNaevFGho.jpg,2019-08-15,Til Death Do Us Part,7.0,4,Til Death Do Us Part
1251,False,/lbW3C1E0FlhNY6JDQ56kNDFS2MU.jpg,[99],92381,[],en,Happy Jail,The jail in the Philippines made famous for a viral Michael Jackson dance video comes under the management of an ex-convict which causes some controversy,1.4,/o1v6SgcsJh3nQzFmfJ2DqL9GcFA.jpg,2019-08-14,Happy Jail,6.0,3,Happy Jail
1252,False,/aKYAuHyDIGnIAd35UAv1cpYWPWL.jpg,"[10759, 18]",73117,['US'],en,Knightfall,Go deep into the clandestine world of the legendary brotherhood of warrior monks known as The Knights Templar.,22.128,/5T3VJOF4ti3ep6JXqSgyzSGdv0h.jpg,2017-12-06,Knightfall,7.08,283,Knightfall
1253,False,/7JEEoYSAn7kG7dveImqCBVEK3UI.jpg,"[16, 10751, 10765, 10762]",87491,['US'],en,DC Super Hero Girls,"The world may know them as Wonder Woman, Supergirl and Batgirl, but not-so-typical teenagers Diana, Kara and Barbara, alongside their Super Hero friends have much more to deal with than just protecting Metropolis from some of the most sinister school-aged Super-Villains. After all, being teens is tough enough, what with school, friends, family and the chaos that comes with managing a social life. But add super powers and a secret identity to the mix, and things can get a lot more complicated.",19.671,/xpOW4hlnkqlIXrjkUHUWPF3Hws2.jpg,2019-03-08,DC Super Hero Girls,8.166,148,DC Super Hero Girls
1254,False,/zHmWp2UuJEQf6vaJHz5vppuFNfq.jpg,"[35, 18]",70573,['US'],en,GLOW,"In 1980s LA, a crew of misfits reinvent themselves as the Gorgeous Ladies of Wrestling.",19.57,/aqQlgRgUwVTfbdxe33vfDEMiCa2.jpg,2017-06-23,GLOW,7.296,285,GLOW
1255,False,/tCjXy1iCsr2BVlNczafnkZ40LPn.jpg,"[18, 80, 10765]",60866,['US'],en,iZombie,"A medical student who becomes a zombie joins a Coroner's Office in order to gain access to the brains she must reluctantly eat so that she can maintain her humanity. But every brain she eats, she also inherits their memories and must now solve their deaths with help from the Medical examiner and a police detective.",72.694,/q4nqNwAhzVR7JuYctrWJvUWz3xR.jpg,2015-03-17,iZombie,7.803,2593,IZombie
1256,False,/6146fdy0RxZgs5soMCMlxNIfksF.jpg,"[18, 80]",78074,['BR'],pt,Sintonia,"Told through three different characters' perspectives, the story of Sintonia explores the interconnection of the music, drug traffic, and religion in São Paulo. In the quest to be somebody, many paths will converge.",14.115,/olF5Bchok7ot8B8tR4O8zYjanlD.jpg,2019-08-09,Sintonia,8.13,158,Sintonia
1257,False,/9Z1aHf2hURZqzCyqMr24kSzgaVo.jpg,[99],91505,['US'],en,The Family,"An enigmatic conservative Christian group known as the Family wields enormous influence in Washington, D.C., in pursuit of its global ambitions.",7.383,/5uxUa1gF15oVTyVwaKPzIBWCamM.jpg,2019-08-09,The Family,6.739,71,The Family
1258,False,/gDPoUx97YV2JZ41ljaqoCFPUxxE.jpg,"[10759, 80, 18]",61700,['KR'],ko,나쁜 녀석들,"To combat rising violent crimes, the Police Chief asks Detective Oh Goo Tak to form a team consisting of criminals. He is currently suspended from the police force for using excessive force. He then gathers team members: Park Woong Chul who is a gangster, Lee Jung Moon who is the youngest serial killer with extraordinary intelligence and Jung Tae Soo who is a contract killer. Police Inspector Yoo Mi Young also joins the team and she tries to have these guys work as a team by dealing with them rationally and sometimes emotionally.",27.293,/xaUyUOf3CPV5MxaALRxUQMxsDvE.jpg,2014-10-04,Bad Guys,7.7,39,Bad Guys
1259,False,/9Hl1taukvzSubrBibBDWodfk8wP.jpg,"[18, 10759]",92097,['LB'],ar,Dollar,Beautiful executive assistant Zeina reluctantly teams up with the self-assured Tarek to chase down an elusive dollar bill worth $1 million.,2.201,/p74z4ajmXiHnoWJnlMiubNu9oDG.jpg,2019-08-08,Dollar,6.8,5,Dollar
